category,cr_name,cr_price_pln,cr_url,bd_name,bd_price_eur,bd_url,match_confidence,matched_at
przerzutki,Przerzutka tylna SHIMANO Deore XT RD-M8100,304.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-rd-m8100-pd20217/,XT RD-M8100 12-speed rear derailleur SGS TOP-DEAL,59.99,https://www.bike-discount.de/en/shimano-xt-rd-m8100-12-speed-rear-derailleur-sgs,0.95,2026-03-03 10:54:11.242128
przerzutki,Przerzutka tylna SHIMANO Deore XT RD-M8120,349.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-rd-m8120-pd20241/,XT RD-M8120 12-speed Rear Derailleur,39.99,https://www.bike-discount.de/en/shimano-xt-rd-m8120-12-speed-rear-derailleur-1,0.95,2026-03-03 10:55:00.517783
przerzutki,Przerzutka tylna SHIMANO Deore XT RD-M8250 Di2,2049.0,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-rd-m8250-di2-pd49345/,XT Di2 RD-M8250 12-speed Rear Derailleur,324.99,https://www.bike-discount.de/en/shimano-xt-di2-rd-m8250-12-speed-rear-derailleur,0.95,2026-03-03 10:53:54.451548
przerzutki,Przerzutka tylna SHIMANO SLX RD-M7100,199.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-slx-rd-m7100-pd20164/,SLX RD-M7100 12-speed rear derailleur TOP-DEAL,37.99,https://www.bike-discount.de/en/shimano-slx-rd-m7100-12-speed-rear-derailleur-2,0.95,2026-03-03 10:54:15.905181
przerzutki,Przerzutka tylna SHIMANO Saint RD-M820,464.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-saint-rd-m820-pd7620/,SAINT RD-M820 10-speed Rear Derailleur SS,129.99,https://www.bike-discount.de/en/shimano-saint-rd-m820-10-speed-rear-derailleur-ss,0.95,2026-03-03 10:54:18.919133
przerzutki,Przerzutka tylna SHIMANO XTR Di2 RD-M9250,1899.0,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-xtr-di2-rd-m9250-pd49107/,XTR Di2 RD-M9250 12-speed Rear Derailleur,449.99,https://www.bike-discount.de/en/shimano-xtr-di2-rd-m9250-12-speed-rear-derailleur,0.95,2026-03-03 10:54:55.578980
przerzutki,Przerzutka tylna SHIMANO XTR RD-M9100,619.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-xtr-rd-m9100-pd18861/,XTR RD-M9100 12-speed Rear Derailleur,179.99,https://www.bike-discount.de/en/shimano-xtr-rd-m9100-12-speed-rear-derailleur-2,0.95,2026-03-03 10:54:22.913565
przerzutki,Przerzutka tylna SRAM Eagle 90 Transmission,649.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-eagle-90-transmission-pd48170/,Eagle 90 Transmission 12-speed Rear Derailleur,159.99,https://www.bike-discount.de/en/sram-eagle-90-transmission-12-speed-rear-derailleur,0.95,2026-03-03 10:54:37.147853
przerzutki,Przerzutka tylna SRAM GX Eagle AXS,1299.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-gx-eagle-axs-pd25562/,GX Eagle AXS Transmission 12-speed rear derailleur,324.99,https://www.bike-discount.de/en/sram-gx-eagle-axs-transmission-12-speed-rear-derailleur,0.95,2026-03-03 10:54:35.818100
przerzutki,Przerzutka tylna SRAM GX Eagle AXS Transmission T-Type,1589.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-gx-eagle-axs-transmission-t-type-pd36303/,GX Eagle AXS Transmission 12-speed rear derailleur,324.99,https://www.bike-discount.de/en/sram-gx-eagle-axs-transmission-12-speed-rear-derailleur,0.95,2026-03-03 10:54:39.809733
