category,cr_name,cr_price_pln,cr_url,mtb_name,mtb_price_pln,mtb_url,match_confidence,matched_at
przerzutki,Przerzutka tylna SRAM GX Eagle Type 3 ,389.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-gx-eagle-type-3-pd16721/,"SRAM GX Eagle Lunar przerzutka, 12 rzędów",429.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/sram-gx-eagle-lunar-przerzutka-12-rzedow-p109600.html,0.95,2026-03-05T06:27:16.127022+00:00
przerzutki,Przerzutka tylna SHIMANO Deore XT RD-M8250 Di2,2049.0,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-rd-m8250-di2-pd49345/,"Shimano Deore XT RD-M8250-SGS Di2 przerzutka, 12-rzędowa",1699.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/shimano-deore-xt-rd-m8250-sgs-di2-przerzutka-12-rzedowa-p352619.html,0.95,2026-03-05T06:27:17.253648+00:00
przerzutki,Przerzutka tylna SRAM XX1 Eagle AXS,2599.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-xx1-eagle-axs-pd20369/,"SRAM XX1 Eagle AXS przerzutka tylna, 12 rzędów, bez baterii",2599.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/sram-xx1-eagle-axs-przerzutka-tylna-12-rzedow-bez-baterii-p87062.html,0.95,2026-03-05T06:27:18.584278+00:00
przerzutki,Przerzutka tylna SHIMANO Deore RD-M5120,124.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-rd-m5120-pd23967/,"Przerzutka tylna tylna Shimano Deore RD-M5120-SGS, 11 rzędów, Shadow+, OEM",123.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/przerzutka-tylna-tylna-shimano-deore-rd-m5120-sgs-11-rzedow-shadow-oem-p380046.html,0.95,2026-03-05T06:27:21.143317+00:00
przerzutki,Przerzutka tylna SHIMANO SLX RD-M7100,199.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-slx-rd-m7100-pd20164/,"Shimano SLX RD-M7100-SGS przerzutka, 12 rzędów, OEM",179.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/shimano-slx-rd-m7100-sgs-przerzutka-12-rzedow-oem-p231582.html,0.95,2026-03-05T06:27:22.474834+00:00
przerzutki,Przerzutka tylna SHIMANO XTR RD-M9100,619.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-xtr-rd-m9100-pd18861/,"Shimano XTR RD-M9100-GS przerzutka, 12 rzędów, Shadow+",789.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/shimano-xtr-rd-m9100-gs-przerzutka-12-rzedow-shadow-p73863.html,0.95,2026-03-05T06:27:45.822800+00:00
przerzutki,Przerzutka tylna SRAM X01 Eagle,899.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-x01-eagle-pd15978/,"SRAM X01 Eagle przerzutka tylna, 12 rzędów, oxy red",899.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/sram-x01-eagle-przerzutka-tylna-12-rzedow-oxy-red-p109598.html,0.95,2026-03-05T06:28:06.817850+00:00
przerzutki,Przerzutka tylna SRAM GX Eagle AXS,1299.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-gx-eagle-axs-pd25562/,"SRAM GX Eagle Lunar przerzutka, 12 rzędów",429.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/sram-gx-eagle-lunar-przerzutka-12-rzedow-p109600.html,0.95,2026-03-05T06:28:09.269289+00:00
przerzutki,Przerzutka tylna SHIMANO Deore XT Di2 RD-M8150,1299.0,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-di2-rd-m8150-pd39748/,"Moduł napędowy Shimano XT RD-M8150-SGS Di2 Hyperglide+ E-Bike Gen 2, 1x12, 10-51T",1299.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/modul-napedowy-shimano-xt-rd-m8150-sgs-di2-hyperglide-e-bike-gen-2-1x12-10-51t-p298573.html,0.95,2026-03-05T06:28:10.808268+00:00
przerzutki,Przerzutka tylna SHIMANO XTR Di2 RD-M9250,1899.0,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-xtr-di2-rd-m9250-pd49107/,"Moduł napędowy Shimano XTR Di2 RD-M9250-SGS, 12-rzędowa",2049.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/modul-napedowy-shimano-xtr-di2-rd-m9250-sgs-12-rzedowa-p350955.html,0.95,2026-03-05T06:28:23.608938+00:00
