category,cr_name,cr_price_pln,cr_url,bi_name,bi_price_pln,bi_url,match_confidence,matched_at
hamulce,Hamulec tarczowy SHIMANO XTR BL-M9220 / BR-M9220,869.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-xtr-bl-m9220-br-m9220-pd49087/?v_Id=263888,BL-M9220-L/BR-M9220-F brake kit,1036.49,https://www.tradeinn.com/bikeinn/pl/shimano-bl-m9220-l-br-m9220-f-brake-kit/142233728/p/,0.95,2026-03-05T07:51:53.916081+00:00
hamulce,Hamulec tarczowy SHIMANO Deore XT BL-M8200/BR-M8220,639.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-deore-xt-bl-m8200-br-m8220-pd49356/?v_Id=264649,BL-M8200-R-BR-M8220-R brake kit,803.49,https://www.tradeinn.com/bikeinn/pl/shimano-bl-m8200-r-br-m8220-r-brake-kit/142237813/p/,0.95,2026-03-05T07:51:57.546847+00:00
hamulce,Zacisk hamulca tarczowego SHIMANO Deore XT BR-M8220,319.99,https://www.centrumrowerowe.pl/zacisk-hamulca-tarczowego-shimano-deore-xt-br-m8220-pd52630/,BL-M8200-R-BR-M8220-R brake kit,803.49,https://www.tradeinn.com/bikeinn/pl/shimano-bl-m8200-r-br-m8220-r-brake-kit/142237813/p/,0.95,2026-03-05T07:52:11.889237+00:00
kasety,Kaseta SRAM GX Eagle XG-1275,664.99,https://www.centrumrowerowe.pl/kaseta-sram-gx-eagle-xg-1275-pd16114/,GX Eagle XG-1275 Cassette,739.49,https://www.tradeinn.com/bikeinn/pl/sram-gx-eagle-xg-1275-cassette/136634128/p/,0.95,2026-03-05T07:52:25.515581+00:00
kasety,Kaseta SHIMANO SLX CS-M7100,279.99,https://www.centrumrowerowe.pl/kaseta-shimano-slx-cs-m7100-pd20153/,SLX M7100 Cassette,396.99,https://www.tradeinn.com/bikeinn/pl/shimano-slx-m7100-cassette/137280808/p/,0.95,2026-03-05T07:52:35.754909+00:00
kasety,Kaseta SHIMANO SLX CS-HG81,139.99,https://www.centrumrowerowe.pl/kaseta-shimano-slx-cs-hg81-pd16051/,SLX HG81 Cassette,220.49,https://www.tradeinn.com/bikeinn/pl/shimano-slx-hg81-cassette/140629289/p/,0.95,2026-03-05T07:52:36.685357+00:00
kasety,Kaseta SHIMANO Deore XT CS-M8100,399.99,https://www.centrumrowerowe.pl/kaseta-shimano-deore-xt-cs-m8100-pd20219/,XT CS-M8100 Cassette,733.99,https://www.tradeinn.com/bikeinn/pl/shimano-xt-cs-m8100-cassette/141760815/p/,0.95,2026-03-05T07:52:39.301857+00:00
kasety,Kaseta SHIMANO Deore XT CS-M8200,497.99,https://www.centrumrowerowe.pl/kaseta-shimano-deore-xt-cs-m8200-pd49344/,CS-M8200 Deore XT Hyperglide+ Cassette,564.99,https://www.tradeinn.com/bikeinn/pl/shimano-cs-m8200-deore-xt-hyperglide-cassette/142237817/p/,0.95,2026-03-05T07:52:40.510290+00:00
kasety,Kaseta SHIMANO XTR CS-M9101,1039.0,https://www.centrumrowerowe.pl/kaseta-shimano-xtr-cs-m9101-pd18856/,XTR M9101 Cassette,1079.99,https://www.tradeinn.com/bikeinn/pl/shimano-xtr-m9101-cassette/138337396/p/,0.95,2026-03-05T07:52:44.545532+00:00
kasety,Kaseta SRAM X01 Eagle XG-1295,1299.0,https://www.centrumrowerowe.pl/kaseta-sram-x01-eagle-xg-1295-pd15952/,XX1 Eagle/X01 Eagle XG-1295 Cassette,1484.99,https://www.tradeinn.com/bikeinn/pl/sram-xx1-eagle-x01-eagle-xg-1295-cassette/137274901/p/,0.95,2026-03-05T07:52:48.391667+00:00
kasety,Kaseta SHIMANO XTR CS-M9200,1599.0,https://www.centrumrowerowe.pl/kaseta-shimano-xtr-cs-m9200-pd49108/,CS-M9200 XTR Hyperglide+ Cassette,1576.49,https://www.tradeinn.com/bikeinn/pl/shimano-cs-m9200-xtr-hyperglide-cassette/142233732/p/,1.0,2026-03-05T07:52:52.490945+00:00
lancuchy,Łańcuch SHIMANO Deore XT CN-HG93,74.99,https://www.centrumrowerowe.pl/lancuch-shimano-deore-xt-cn-hg93-pd3294/,Deore XT CN-HG93 chain,90.99,https://www.tradeinn.com/bikeinn/pl/shimano-deore-xt-cn-hg93-chain/139930778/p/,0.95,2026-03-05T07:53:11.806114+00:00
kasety,Kaseta SHIMANO Deore XT CS-M771,204.99,https://www.centrumrowerowe.pl/kaseta-shimano-deore-xt-cs-m771-pd16045/,Deore XT M771 Cassette,244.99,https://www.tradeinn.com/bikeinn/pl/shimano-deore-xt-m771-cassette/9626/p/,0.95,2026-03-05T07:53:17.065349+00:00
lancuchy,Łańcuch SHIMANO 105 / GRX / SLX CN-M7100,91.99,https://www.centrumrowerowe.pl/lancuch-shimano-105-grx-slx-cn-m7100-pd20167/,M7100 SLX chain,115.49,https://www.tradeinn.com/bikeinn/pl/shimano-m7100-slx-chain/137257609/p/,0.95,2026-03-05T07:53:21.467542+00:00
lancuchy,Łańcuch SRAM GX Eagle,94.99,https://www.centrumrowerowe.pl/lancuch-sram-gx-eagle-pd16287/,GX Eagle MTB chain,105.99,https://www.tradeinn.com/bikeinn/pl/sram-gx-eagle-mtb-chain/136634127/p/,0.95,2026-03-05T07:53:28.635801+00:00
lancuchy,Łańcuch SHIMANO Dura Ace / XTR CN-M9100,185.99,https://www.centrumrowerowe.pl/lancuch-shimano-dura-ace-xtr-cn-m9100-pd18862/,XTR M9100 MTB chain,266.0,https://www.tradeinn.com/bikeinn/pl/shimano-xtr-m9100-mtb-chain/139622929/p/,0.95,2026-03-05T07:53:53.314839+00:00
lancuchy,Łańcuch SRAM GX Eagle T-Type,164.99,https://www.centrumrowerowe.pl/lancuch-sram-gx-eagle-t-type-pd36305/,GX Eagle MTB chain,105.99,https://www.tradeinn.com/bikeinn/pl/sram-gx-eagle-mtb-chain/136634127/p/,0.95,2026-03-05T07:53:56.386052+00:00
lancuchy,Łańcuch SRAM XX1 Eagle,276.99,https://www.centrumrowerowe.pl/lancuch-sram-xx1-eagle-pd6622/,XX1 Eagle chain,467.99,https://www.tradeinn.com/bikeinn/pl/sram-xx1-eagle-chain/140300800/p/,0.95,2026-03-05T07:53:57.205804+00:00
lancuchy,Łańcuch SRAM X01 Eagle,196.99,https://www.centrumrowerowe.pl/lancuch-sram-x01-eagle-pd6619/,X01 EAGLE MTB chain,216.49,https://www.tradeinn.com/bikeinn/pl/sram-x01-eagle-mtb-chain/136338455/p/,0.95,2026-03-05T07:54:10.216507+00:00
